Case Name, C1, C2, C3, C4
1,14;15,10;12
1,29;29,29;31
1,10;12,11;11
1,10;10,10;12
1,16;17,15;18
1,6;9,6;9
1,11;11,12;12
1,11;11,9;11
1,20;20,18;19
1,13;15,12;16
1,17;19,14;18
1,9;11,11;11
1,15;24,15;22
1,9;11,11;12
1,18;21,24;26
2,10;12,14;15
2,29;31,29;30.2
2,11;11,10;10
2,10;12,11;11
2,15;18,14;17
2,6;9,6;7
2,12;12,11;12
2,9;11,13;13
2,18;19,20;20
2,12;16,13;15
2,14;18,17;17
2,11;11,8;8
2,15;22,12;15
2,11;12,10;12
2,24;26,22;22
3,11;13,14;14
3,29;31,30.2;32
3,10;12,9;9
3,9;10,11;12
3,16;17,15;18
3,6;7,6;9.3
3,8;10,11;12
3,11;12,11;12
3,17;18,17;20
3,15.2;17,13.2;16
3,15;16,14;16
3,9;10,8;8
3,12;14,16;17
3,9;14,9;13
3,19;21,25;25
4,13;15,11;13
4,29;29.2,29;31
4,11;11,10;12
4,12;12,9;10
4,15;16,16;17
4,9;9,6;7
4,11;12,8;10
4,9;13,11;12
4,20;24,17;18
4,14;15.2,15.2;17
4,14;18,15;16
4,8;9,9;10
4,14;17,12;14
4,11;11,9;14
4,19;23,19;21
5,14;15,10;12
5,29;29,29;31
5,10;12,11;11
5,10;10,10;12
5,16;17,15;18
5,6;9,6;9
5,11;11,12;12
5,11;11,9;11
5,20;20,18;19
5,13;15,12;16
5,17;19,14;18
5,9;11,11;11
5,15;24,15;22
5,9;11,11;12
5,18;21,24;26
6,10;15,14;14
6,28;29,28;30.2
6,10;10,8;10
6,12;14,12;12
6,15;16,15;15
6,6;6,8;9.3
6,12;13,12;13
6,11;11,11;13
6,19;25,20;25
6,14;14,14;14
6,14;16,15;18
6,8;8,8;8
6,13;14,13;15
6,11;12,12;13
6,23;24,20;23
7,12;15,14;14
7,28;29,29;31.2
7,11;11,9;11
7,10;12,10;12
7,17;17,15;16
7,7;7,9;9.3
7,11;14,11;14
7,9;9,10;11
7,16;17,23;25
7,12;15.2,12;14
7,16;20,15;18
7,8;9,8;9
7,16;18,12;15
7,10;12,11;13
7,22;24,22;23
8,11;15,14;14
8,29;32.2,30.2;32
8,10;12,9;9
8,12;12,11;12
8,14;18,15;18
8,9.3;9.3,6;9.3
8,10;11,11;12
8,12;13,11;12
8,23;23,17;20
8,13;15,13.2;16
8,15;17,14;16
8,8;8,8;8
8,13;16,16;17
8,12;13,9;13
8,21;23,25;25
9,11;13,10;12
9,29;31,29;31
9,10;12,11;11
9,9;10,10;12
9,16;17,15;18
9,6;7,6;9
9,8;10,12;12
9,11;12,9;11
9,17;18,18;19
9,15.2;17,12;16
9,15;16,14;18
9,9;10,11;11
9,12;14,15;22
9,9;14,11;12
9,19;21,24;26
10,10;14,14;15
10,28;30,31.2;32.2
10,10;10,10;12
10,11;11,10;13
10,15;16,16;17
10,6;7,9;9.3
10,11;12,11;13
10,11;12,12;13
10,16;19,18;23
10,13;15,14;16
10,15;15,16;19
10,6;11,8;8
10,15;17,12;14
10,10;11,12;12
10,19;19,20;22
11,10;14,14;15
11,28;30,31.2;32.2
11,10;10,10;12
11,11;11,10;13
11,15;16,16;17
11,6;7,9;9.3
11,11;12,11;13
11,11;12,12;13
11,16;19,18;23
11,13;15,14;16
11,15;15,16;19
11,6;11,8;8
11,15;17,12;14
11,10;11,12;12
11,19;19,20;22
12,11;13,14;15
12,29;31,29;29
12,10;12,10;12
12,9;10,10;10
12,16;17,16;17
12,6;7,6;9
12,8;10,11;11
12,11;12,11;11
12,17;18,20;20
12,15.2;17,13;15
12,15;16,17;19
12,9;10,9;11
12,12;14,15;24
12,9;14,9;11
12,19;21,18;21
13,10;12,12;15
13,29;31,28;29
13,11;11,11;11
13,10;12,10;12
13,15;18,17;17
13,6;9,7;7
13,12;12,11;14
13,9;11,9;9
13,18;19,16;17
13,12;16,12;15.2
13,14;18,16;20
13,11;11,8;9
13,15;22,16;18
13,11;12,10;12
13,24;26,22;24
14,14;15,13;14
14,29;29,28;33.2
14,10;12,9;12
14,10;10,12;12
14,16;17,15;18
14,6;9,7;8
14,11;11,9;12
14,11;11,9;12
14,20;20,17;20
14,13;15,14;14
14,17;19,17;18
14,9;11,8;8
14,15;24,13;14
14,9;11,12;12
14,18;21,21;24
15,13;14,14;14
15,29;32.2,30;30.2
15,8;10,8;11
15,9;13,10;12
15,15;16,15;17
15,6;9,6;6
15,8;13,9;14
15,11;11,11;13
15,20;25,19;23
15,12;14,13;13
15,16;16,17;17
15,8;8,8;11
15,12;16,13;18
15,11;11,11;14
15,21;23,21;21
16,12;15,13;13
16,28;29,29;33.2
16,11;11,11;12
16,10;12,11;11
16,17;17,17;18
16,7;7,6;7
16,11;14,10;11
16,9;9,8;10
16,16;17,17;24
16,12;15.2,13.2;14
16,16;20,17;18
16,8;9,8;10
16,16;18,14;15
16,10;12,9;12
16,22;24,24;26
17,8;14,12;15
17,29;29,28;29
17,8;8,11;11
17,9;10,10;12
17,14;18,17;17
17,6;8,7;7
17,8;9,11;14
17,10;12,9;9
17,19;22,16;17
17,12;14,12;15.2
17,16;17,16;20
17,8;9,8;9
17,12;14,16;18
17,11;13,10;12
17,22;25,22;24
18,11;14,12;15
18,31;31,28;29
18,10;12,11;11
18,9;11,10;12
18,16;16,17;17
18,8;9.3,7;7
18,9;12,11;14
18,11;11,9;9
18,23;25,16;17
18,13;15,12;15.2
18,16;17,16;20
18,8;10,8;9
18,12;19,16;18
18,11;12,10;12
18,21;24,22;24
19,13;15,12;15
19,29;29.2,27;31
19,11;11,9;13
19,12;12,11;12
19,15;16,15;16
19,9;9,9;9.3
19,11;12,9;12
19,9;13,12;13
19,20;24,16;24
19,14;15.2,13;13
19,14;18,16;16
19,8;9,8;8
19,14;17,13;14
19,11;11,11;12
19,19;23,20;23
20,14;15,14;15
20,28;29,29;30.2
20,8;11,10;10
20,10;11,11;11
20,16;16,14;17
20,7;9,6;7
