Case Name,C1,C2,C3,C4
202,D29,D46,n/a,n/a
203,D29,D46,n/a,n/a
204,D29,D18,n/a,n/a
205,D29,D18,n/a,n/a
206,D29,D18,n/a,n/a
207,D29,D42,n/a,n/a
208,D29,D42,n/a,n/a
209,D29,D42,n/a,n/a
210,D36,D18,n/a,n/a
211,D36,D42,n/a,n/a
212,D36,D42,n/a,n/a
213,D36,D38,n/a,n/a
214,D36,D46,n/a,n/a
215,D29,D18,n/a,n/a
216,D29,D42,n/a,n/a
217,D29,D38,n/a,n/a
218,D36,D18,n/a,n/a
219,D36,D18,n/a,n/a
220,D36,D42,n/a,n/a
221,D36,D42,n/a,n/a
222,D36,D46,n/a,n/a
223,D36,D46,n/a,n/a
224,D36,D42,n/a,n/a
225,D36,D18,n/a,n/a
226,D36,D42,n/a,n/a
227,D36,D38,n/a,n/a
228,D36,D46,n/a,n/a
229,D29,D18,n/a,n/a
230,D29,D42,n/a,n/a
231,D29,D38,n/a,n/a
232,D29,D46,n/a,n/a
233,D36,D18,n/a,n/a
234,D36,D18,n/a,n/a
235,D36,D42,n/a,n/a
236,D36,D42,n/a,n/a
237,D36,D38,n/a,n/a
238,D36,D38,n/a,n/a
239,D36,D46,n/a,n/a
240,D36,D46,n/a,n/a
241,D36,D18,n/a,n/a
242,D36,D18,n/a,n/a
243,D36,D18,n/a,n/a
244,D36,D42,n/a,n/a
245,D36,D42,n/a,n/a
246,D36,D42,n/a,n/a
247,D36,D38,n/a,n/a
248,D36,D38,n/a,n/a
249,D36,D38,n/a,n/a
250,D36,D46,n/a,n/a
251,D36,D46,n/a,n/a
252,D36,D46,n/a,n/a
253,D29,D18,n/a,n/a
254,D29,D18,n/a,n/a
255,D29,D42,n/a,n/a
256,D29,D42,n/a,n/a
257,D29,D42,n/a,n/a
258,D29,D38,n/a,n/a
259,D18,D03,D21,D02
260,D27,D01,D02,D07
261,D49,D02,D07,D18
262,D06,D21,D31,D02
263,D06,D22,D31,D27
264,D06,D29,D23,D19
265,D12,D31,D21,D46
266,D19,D09,D18,D43
267,D23,D31,D21,D46
268,D21,D29,D06,D22
269,D09,D19,D18,D22
270,D06,D22,D31,D27
271,D49,D02,D07,D18
272,D49,D02,D07,D18
273,D18,D01,D21,n/a
274,D14,D46,D22,n/a
275,D46,D18,D01,n/a
276,D18,D31,D22,n/a
277,D06,D45,D29,n/a
278,D19,D32,D02,n/a
279,D22,D31,D20,n/a
280,D14,D31,D06,n/a
281,D05,D27,D09,n/a
282,D26,D25,D43,n/a
283,D49,D02,D19,n/a
284,D46,D38,D29,n/a
285,D46,D38,D29,n/a
286,D46,D38,D29,n/a
287,D46,D38,D29,n/a
288,D46,D38,D29,n/a
289,D46,D38,D29,n/a
290,D18,D38,D42,n/a
291,D18,D38,D42,n/a
292,D18,D38,D42,n/a
293,D18,D38,D42,n/a
294,D18,D38,D42,n/a
295,D18,D38,D42,n/a
296,D42,D29,D18,n/a
297,D42,D29,D18,n/a
298,D42,D29,D18,n/a
299,D42,D29,D18,n/a
300,D42,D29,D18,n/a
301,D42,D29,D18,n/a
302,D38,D42,D46,n/a
303,D38,D42,D46,n/a
304,D38,D42,D46,n/a
305,D38,D42,D46,n/a
306,D38,D42,D46,n/a
307,D38,D42,D46,n/a
308,D29,D38,D42,n/a
309,D29,D38,D42,n/a
310,D29,D38,D42,n/a
311,D29,D38,D42,n/a
312,D29,D38,D42,n/a
313,D29,D38,D42,n/a
314,D18,D29,D38,n/a
315,D18,D29,D38,n/a
316,D18,D29,D38,n/a
317,D18,D29,D38,n/a
318,D18,D29,D38,n/a
319,D18,D29,D38,n/a
320,D46,D38,D29,n/a
321,D46,D38,D29,n/a
322,D46,D38,D29,n/a
323,D46,D38,D29,n/a
324,D46,D38,D29,n/a
325,D46,D38,D29,n/a
326,D18,D38,D42,n/a
327,D18,D38,D42,n/a
328,D18,D38,D42,n/a
329,D18,D38,D42,n/a
330,D18,D38,D42,n/a
331,D18,D38,D42,n/a
332,D42,D29,D18,n/a
333,D42,D29,D18,n/a
334,D42,D29,D18,n/a
335,D42,D29,D18,n/a
336,D42,D29,D18,n/a
337,D42,D29,D18,n/a
338,D38,D42,D46,n/a
339,D38,D42,D46,n/a
340,D38,D42,D46,n/a
341,D38,D42,D46,n/a
342,D38,D42,D46,n/a
343,D38,D42,D46,n/a
344,D29,D38,D42,n/a
345,D29,D38,D42,n/a
346,D29,D38,D42,n/a
347,D29,D38,D42,n/a
348,D29,D38,D42,n/a
349,D29,D38,D42,n/a
350,D18,D29,D38,n/a
351,D18,D29,D38,n/a
352,D18,D29,D38,n/a
353,D18,D29,D38,n/a
354,D18,D29,D38,n/a
355,D18,D29,D38,n/a
356,D02,D03,D32,n/a
357,D02,D03,D32,n/a
358,D02,D03,D32,n/a
359,D02,D19,D49,n/a
360,D02,D19,D49,n/a
361,D03,D32,D02,n/a
362,D19,D02,D49,n/a
363,D02,D19,D49,n/a
364,D02,D19,D49,n/a
365,D02,D19,D49,n/a
366,D03,D02,D32,n/a
367,D03,D02,D32,n/a
368,D03,D32,D02,n/a
369,D19,D02,D49,n/a
370,D19,D02,D49,n/a
371,D49,D19,D02,n/a
372,D19,D02,D49,n/a
373,D49,D19,D02,n/a
374,D49,D19,D02,n/a
375,D32,D03,D02,n/a
376,D32,D03,D02,n/a
377,D49,D19,D02,n/a
378,D32,D03,D02,n/a
379,D02,D03,D32,n/a
380,D02,D03,D32,n/a
381,D32,D03,D02,n/a
382,D49,D19,D02,n/a
383,D49,D19,D02,n/a
384,D33,D06,D14,n/a
385,D42,D32,D02,n/a
386,D45,D07,D06,n/a
387,D42,D32,D02,n/a
388,D21,D13,D23,n/a
389,D33,D05,D19,n/a
390,D45,D07,D06,n/a
391,D49,D06,D14,n/a
392,D61,D62,D63,n/a
