Case,Race,Above 1,Below 1,Equal 1,Equal 0,Max LR,Min LR
259,BLACK,0.01,99.99,0.0,0.0,9.06595067392e+12,2.82034408344e-55
259,HISPANIC,0.01,99.99,0.0,0.0,3.6935726659e+12,6.71499630186e-56
259,CAUCASIAN,0.01,99.99,0.0,0.0,1.85628761524e+13,3.37353882598e-55
259,ASIAN,0.01,99.99,0.0,0.0,9.09332376216e+13,1.37444684057e-54
