FGA,(17.2;30.2)
FGA,(17.2;31.0)
FGA,(17.2;31.2)
FGA,(17.2;32.2)
FGA,(17.2;33.2)
FGA,(17.2;34.2)
FGA,(17.2;42.2)
FGA,(17.2;43.2)
FGA,(17.2;44.2)
FGA,(17.2;45.2)
FGA,(17.2;46.2)
FGA,(17.2;47.2)
FGA,(17.2;48.2)
FGA,(17.2;50.2)
FGA,(17.2;51.2)
FGA,(18.0;18.0)
FGA,(18.0;18.2)
FGA,(18.0;19.0)
FGA,(18.0;19.2)
FGA,(18.0;20.0)
FGA,(18.0;20.2)
FGA,(18.0;21.0)
FGA,(18.0;21.2)
FGA,(18.0;22.0)
FGA,(18.0;22.2)
FGA,(18.0;23.0)
FGA,(18.0;23.2)
FGA,(18.0;24.0)
FGA,(18.0;24.2)
FGA,(18.0;25.0)
FGA,(18.0;25.2)
FGA,(18.0;26.0)
FGA,(18.0;26.2)
FGA,(18.0;27.0)
FGA,(18.0;27.2)
FGA,(18.0;28.0)
FGA,(18.0;28.2)
FGA,(18.0;29.0)
FGA,(18.0;29.2)
FGA,(18.0;30.0)
FGA,(18.0;30.2)
FGA,(18.0;31.0)
FGA,(18.0;31.2)
FGA,(18.0;32.2)
FGA,(18.0;33.2)
FGA,(18.0;34.2)
FGA,(18.0;42.2)
FGA,(18.0;43.2)
FGA,(18.0;44.2)
FGA,(18.0;45.2)
FGA,(18.0;46.2)
FGA,(18.0;47.2)
FGA,(18.0;48.2)
FGA,(18.0;50.2)
FGA,(18.0;51.2)
FGA,(18.2;18.2)
FGA,(18.2;19.0)
FGA,(18.2;19.2)
FGA,(18.2;20.0)
FGA,(18.2;20.2)
FGA,(18.2;21.0)
FGA,(18.2;21.2)
FGA,(18.2;22.0)
FGA,(18.2;22.2)
FGA,(18.2;23.0)
FGA,(18.2;23.2)
FGA,(18.2;24.0)
FGA,(18.2;24.2)
FGA,(18.2;25.0)
FGA,(18.2;25.2)
FGA,(18.2;26.0)
FGA,(18.2;26.2)
FGA,(18.2;27.0)
FGA,(18.2;27.2)
FGA,(18.2;28.0)
FGA,(18.2;28.2)
FGA,(18.2;29.0)
FGA,(18.2;29.2)
FGA,(18.2;30.0)
FGA,(18.2;30.2)
FGA,(18.2;31.0)
FGA,(18.2;31.2)
FGA,(18.2;32.2)
FGA,(18.2;33.2)
FGA,(18.2;34.2)
FGA,(18.2;42.2)
FGA,(18.2;43.2)
FGA,(18.2;44.2)
FGA,(18.2;45.2)
FGA,(18.2;46.2)
FGA,(18.2;47.2)
FGA,(18.2;48.2)
FGA,(18.2;50.2)
FGA,(18.2;51.2)
FGA,(19.0;19.0)
FGA,(19.0;19.2)
FGA,(19.0;20.0)
FGA,(19.0;20.2)
FGA,(19.0;21.0)
FGA,(19.0;21.2)
FGA,(19.0;22.0)
FGA,(19.0;22.2)
FGA,(19.0;23.0)
FGA,(19.0;23.2)
FGA,(19.0;24.0)
FGA,(19.0;24.2)
FGA,(19.0;25.0)
FGA,(19.0;25.2)
FGA,(19.0;26.0)
FGA,(19.0;26.2)
FGA,(19.0;27.0)
FGA,(19.0;27.2)
FGA,(19.0;28.0)
FGA,(19.0;28.2)
