Case Name:,259_
Locus:,D5
Quant:,27
Pn size:,2
Pd size:,2
Dedicible?,NO
Race:,BLACK
Known(s) Pn:
,Person 1,(11; 12)
Known(s) Pn:
,No Knowns Pd
,
Replicate(s):
,Replicate 1,11;12;
,Replicate 2,11;12;
,Replicate 3,11;12;


Genotype Freq:
,(11; 11),(0.252; 0.252),0.0691589
,(11; 12),(0.252; 0.344),0.173376
,(11; -1),(0.252; 0.404),0.203616
,(12; 12),(0.344; 0.344),0.125106
,(12; -1),(0.344; 0.404),0.277952
,(-1; -1),(0.404; 0.404),0.17044

Case:,259_,D5

Numerator:

,HET0:,0.6676,,pC0:,0.96
,HET1:,0.3124,,pC1:,0.035
,HET2:,0.02,,pC2:,0.005
,HOM0:,0.98
,HOM1:,0.02,,Theta:,0.03


Case:,259_,D5

Denominator:

,HET0:,0.6676,,pC0:,0.96
,HET1:,0.3124,,pC1:,0.035
,HET2:,0.02,,pC2:,0.005
,HOM0:,0.98
,HOM1:,0.02,,Theta:,0.03


BLACK

,,LR:,1.80603,,Pn:,0.0655775,,Pd:,0.0363102

,LR:,4.07781,,Pn:,0.148066,,Pd:,0.0363102,,(11; 11),,1,Uknown(s) Pn,,2,Uknown(s) Pd
,LR:,1.80603,,Pn:,0.0655775,,Pd:,0.0363102,,(11; 12),,1,Uknown(s) Pn,,2,Uknown(s) Pd
,LR:,0.132094,,Pn:,0.00479635,,Pd:,0.0363102,,(11; -1),,1,Uknown(s) Pn,,2,Uknown(s) Pd
,LR:,2.81831,,Pn:,0.102333,,Pd:,0.0363102,,(12; 12),,1,Uknown(s) Pn,,2,Uknown(s) Pd
,LR:,0.0912942,,Pn:,0.00331491,,Pd:,0.0363102,,(12; -1),,1,Uknown(s) Pn,,2,Uknown(s) Pd
,LR:,1.00576e-05,,Pn:,3.65193e-07,,Pd:,0.0363102,,(-1; -1),,1,Uknown(s) Pn,,2,Uknown(s) Pd



,Time Elapsed:,22.741,Second(s)
