Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
1_,D18,ASIAN,,19.1641,0.00226039,0.00011795,,31.944,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D18,CAUCASIAN,,26.0081,0.00281925,0.000108399,,42.355,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D5,HISPANIC,,0.775902,0.000118376,0.000152566,,34.902,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,ASIAN,,1.13722,0.000646777,0.000568737,,32.773,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,CAUCASIAN,,0.820187,0.000112684,0.000137388,,37.329,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,BLACK,,0.927546,7.02688e-05,7.57577e-05,,37.908,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,FGA,ASIAN,,7.78031,0.000224102,2.88037e-05,,15.939,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,HISPANIC,,7.54655,8.71151e-05,1.15437e-05,,18.603,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,CAUCASIAN,,10.3252,0.000105206,1.01893e-05,,20.768,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,BLACK,,6.91836,0.000104351,1.50831e-05,,23.026,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
Overall:,15 Files,BLACK,,5.95888e+10,3.07749e-40,5.16453e-51,,582.433
Overall:,15 Files,CAUCASIAN,,1.69526e+10,5.06922e-39,2.99024e-49,,582.433
Overall:,15 Files,HISPANIC,,3.87843e+09,1.99261e-39,5.13769e-49,,582.433
Overall:,15 Files,ASIAN,,1.04561e+10,3.17568e-39,3.03716e-49,,582.433
