Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
259_,D8,HISPANIC,,3.43919,0.000414292,0.000120462,,42.623,,0.726,0.2448,0.0292,0.98,0.02,,0.726,0.2448,0.0292,0.98,0.02
259_,D8,BLACK,,1.53299,0.000346181,0.00022582,,42.756,,0.726,0.2448,0.0292,0.98,0.02,,0.726,0.2448,0.0292,0.98,0.02
259_,D8,CAUCASIAN,,3.50853,0.000482593,0.000137548,,42.717,,0.726,0.2448,0.0292,0.98,0.02,,0.726,0.2448,0.0292,0.98,0.02
259_,D8,ASIAN,,3.24769,0.00119298,0.000367333,,42.583,,0.726,0.2448,0.0292,0.98,0.02,,0.726,0.2448,0.0292,0.98,0.02
259_,D21,HISPANIC,,3.13328,4.1186e-05,1.31447e-05,,27.405,,0.6744,0.3056,0.02,0.98,0.02,,0.6744,0.3056,0.02,0.98,0.02
259_,D21,CAUCASIAN,,3.37714,4.74045e-05,1.40369e-05,,28.314,,0.6744,0.3056,0.02,0.98,0.02,,0.6744,0.3056,0.02,0.98,0.02
259_,D21,ASIAN,,3.78421,5.36456e-05,1.41762e-05,,24.879,,0.6744,0.3056,0.02,0.98,0.02,,0.6744,0.3056,0.02,0.98,0.02
259_,D21,BLACK,,3.26855,2.20643e-05,6.75048e-06,,28.675,,0.6744,0.3056,0.02,0.98,0.02,,0.6744,0.3056,0.02,0.98,0.02
259_,D7,HISPANIC,,0.667525,1.54047e-07,2.30773e-07,,27.029,,0.5616,0.3908,0.0476,0.9708,0.0292,,0.5616,0.3908,0.0476,0.9708,0.0292
259_,D7,CAUCASIAN,,0.666851,1.98237e-07,2.97273e-07,,28.695,,0.5616,0.3908,0.0476,0.9708,0.0292,,0.5616,0.3908,0.0476,0.9708,0.0292
259_,D7,BLACK,,0.6659,2.03678e-07,3.05868e-07,,29.486,,0.5616,0.3908,0.0476,0.9708,0.0292,,0.5616,0.3908,0.0476,0.9708,0.0292
259_,D7,ASIAN,,0.578403,9.93243e-08,1.71722e-07,,24.033,,0.5616,0.3908,0.0476,0.9708,0.0292,,0.5616,0.3908,0.0476,0.9708,0.0292
259_,CSF,BLACK,,1.61132,0.0649037,0.0402799,,25.255,,0.6036,0.318,0.0784,0.9064,0.0936,,0.6036,0.318,0.0784,0.9064,0.0936
259_,CSF,HISPANIC,,1.28018,0.0785141,0.0613305,,19.897,,0.6036,0.318,0.0784,0.9064,0.0936,,0.6036,0.318,0.0784,0.9064,0.0936
259_,CSF,CAUCASIAN,,1.12509,0.0881271,0.0783287,,23.177,,0.6036,0.318,0.0784,0.9064,0.0936,,0.6036,0.318,0.0784,0.9064,0.0936
259_,CSF,ASIAN,,1.392,0.0730727,0.0524948,,27.522,,0.6036,0.318,0.0784,0.9064,0.0936,,0.6036,0.318,0.0784,0.9064,0.0936
259_,D3,CAUCASIAN,,3.38635,0.000822531,0.000242896,,38.383,,0.6184,0.3432,0.0384,0.9616,0.0384,,0.6184,0.3432,0.0384,0.9616,0.0384
259_,D3,BLACK,,2.74676,0.00109069,0.000397081,,41.636,,0.6184,0.3432,0.0384,0.9616,0.0384,,0.6184,0.3432,0.0384,0.9616,0.0384
259_,D3,ASIAN,,2.18424,0.00132086,0.000604724,,33.669,,0.6184,0.3432,0.0384,0.9616,0.0384,,0.6184,0.3432,0.0384,0.9616,0.0384
