Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
451_,D8,BLACK,,2.93254,0.000693059,0.000236334,,16.846,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,D8,HISPANIC,,1.69549,0.00291496,0.00171924,,16.889,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,D8,ASIAN,,2.35464,0.00244644,0.00103899,,16.833,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,D8,CAUCASIAN,,2.2781,0.00220721,0.000968885,,17.072,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,D21,HISPANIC,,3.91259,0.015747,0.0040247,,16.99,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
451_,D21,BLACK,,21.9774,0.0192291,0.000874947,,17.148,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
451_,D21,ASIAN,,3.83985,0.00621033,0.00161734,,17.051,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
451_,D21,CAUCASIAN,,4.68412,0.0238989,0.00510211,,17.147,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
451_,D7,CAUCASIAN,,1.77691,0.0784616,0.0441563,,8.279,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
451_,D7,HISPANIC,,1.85562,0.084209,0.0453806,,8.296,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
451_,D7,BLACK,,1.81594,0.110272,0.0607243,,8.368,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
451_,D7,ASIAN,,2.20019,0.0843311,0.0383291,,8.29,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
451_,CSF,BLACK,,3.10671,0.0714678,0.0230044,,5.747,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
451_,CSF,CAUCASIAN,,3.56657,0.0562886,0.0157823,,5.834,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
451_,CSF,HISPANIC,,2.96972,0.0865616,0.0291481,,5.828,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
451_,CSF,ASIAN,,3.50765,0.07309,0.0208373,,5.796,,0.79,0.19,0.02,0.98,0.02,,0.79,0.19,0.02,0.98,0.02
451_,D3,BLACK,,3.50578,0.0525135,0.0149791,,16.668,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
451_,D3,CAUCASIAN,,2.91304,0.0700997,0.0240641,,16.741,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
451_,D3,HISPANIC,,2.34469,0.0403689,0.0172171,,16.769,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
451_,D3,ASIAN,,4.13678,0.0359672,0.00869449,,16.676,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
451_,TH01,HISPANIC,,1.97646,0.0132764,0.00671726,,16.579,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,TH01,BLACK,,3.90926,0.00868332,0.00222122,,16.703,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,TH01,CAUCASIAN,,1.78294,0.0104763,0.00587587,,16.691,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,TH01,ASIAN,,1.68702,0.00851642,0.00504821,,16.791,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
451_,D13,HISPANIC,,1.16669,0.00985135,0.00844387,,40.942,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
