Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
351_,D19,CAUCASIAN,,8.69833,0.00866445,0.000996105,,10.839,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,vWA,CAUCASIAN,,2.72924,0.0353013,0.0129345,,5.165,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,vWA,BLACK,,2.41806,0.0300192,0.0124145,,5.222,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,vWA,ASIAN,,3.11406,0.0341107,0.0109538,,5.185,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,vWA,HISPANIC,,2.09445,0.0580274,0.0277053,,5.205,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TPOX,CAUCASIAN,,3.59696,0.112192,0.0311908,,10.667,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TPOX,BLACK,,7.7905,0.143719,0.018448,,10.715,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TPOX,ASIAN,,8.22583,0.198225,0.0240978,,10.747,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TPOX,HISPANIC,,2.33104,0.130942,0.0561734,,10.795,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D18,CAUCASIAN,,3.86521,0.000318175,8.23177e-05,,10.773,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D18,BLACK,,3.21463,0.000203343,6.32555e-05,,10.94,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D18,ASIAN,,3.88786,0.000313355,8.05985e-05,,10.909,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D18,HISPANIC,,3.77413,0.000325712,8.63013e-05,,10.947,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D5,CAUCASIAN,,1.60859,0.0217235,0.0135047,,5.169,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D5,HISPANIC,,1.51823,0.0291353,0.0191904,,5.237,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D5,ASIAN,,1.97333,0.0476488,0.0241464,,5.227,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D5,BLACK,,1.83679,0.0124227,0.00676328,,5.319,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,FGA,CAUCASIAN,,8.96472,4.62435e-06,5.15838e-07,,26.361,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,FGA,BLACK,,17.8447,2.10576e-06,1.18005e-07,,26.431,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,FGA,HISPANIC,,8.70228,3.50159e-06,4.02376e-07,,26.677,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,FGA,ASIAN,,12.1787,3.33136e-06,2.73541e-07,,26.701,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
Overall:,15 Files,BLACK,,1.62161e+11,8.12973e-39,5.01338e-50,,165.824
Overall:,15 Files,CAUCASIAN,,9.23189e+09,2.37813e-36,2.57599e-46,,165.824
Overall:,15 Files,HISPANIC,,4.02505e+09,1.12563e-35,2.79657e-45,,165.824
Overall:,15 Files,ASIAN,,2.60402e+11,2.53198e-36,9.72335e-48,,165.824
352_,D8,BLACK,,3.19505,0.00867565,0.00271534,,10.605,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
352_,D8,ASIAN,,1.87167,0.00485638,0.00259467,,10.585,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
352_,D8,CAUCASIAN,,2.5818,0.00752334,0.00291399,,10.659,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
352_,D8,HISPANIC,,3.51307,0.0098762,0.00281128,,10.717,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
352_,D21,BLACK,,5.2052,0.00771889,0.00148292,,3.629,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
352_,D21,HISPANIC,,3.58092,0.0159165,0.00444482,,3.622,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
352_,D21,ASIAN,,2.51671,0.0317137,0.0126013,,3.605,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
352_,D21,CAUCASIAN,,2.97002,0.0242577,0.0081675,,3.644,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
352_,D7,CAUCASIAN,,8.05828,0.000411175,5.10251e-05,,10.447,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
352_,D7,BLACK,,6.74226,0.000490512,7.27518e-05,,10.541,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
352_,D7,HISPANIC,,8.20361,0.00053412,6.51079e-05,,10.567,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
352_,D7,ASIAN,,10.7564,0.000232416,2.16073e-05,,10.587,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
352_,CSF,CAUCASIAN,,0.00339914,5.26558e-06,0.00154909,,3.28,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
352_,CSF,BLACK,,0.00294454,7.017e-06,0.00238306,,3.307,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
352_,CSF,ASIAN,,0.00414455,3.54182e-06,0.000854573,,3.256,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
352_,CSF,HISPANIC,,0.00311099,6.28619e-06,0.00202064,,3.29,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
352_,D3,CAUCASIAN,,0.471641,0.000144032,0.000305384,,10.723,,0.9,0.08,0.02,0.98,0.02,,0.9,0.08,0.02,0.98,0.02
352_,D3,ASIAN,,0.66627,0.000252312,0.000378692,,10.71,,0.9,0.08,0.02,0.98,0.02,,0.9,0.08,0.02,0.98,0.02
352_,D3,HISPANIC,,0.467883,0.000180122,0.000384973,,10.767,,0.9,0.08,0.02,0.98,0.02,,0.9,0.08,0.02,0.98,0.02
352_,D3,BLACK,,0.58578,0.000206557,0.000352619,,10.938,,0.9,0.08,0.02,0.98,0.02,,0.9,0.08,0.02,0.98,0.02
352_,TH01,HISPANIC,,1.3871,0.00585826,0.00422339,,10.902,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,TH01,ASIAN,,9.84363,0.00612686,0.000622418,,11.036,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,TH01,CAUCASIAN,,1.18439,0.00850604,0.00718176,,11.097,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,TH01,BLACK,,5.89215,0.00282084,0.000478746,,11.122,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,D13,BLACK,,1.31485,0.0170691,0.0129818,,11.198,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
352_,D13,ASIAN,,7.10277,0.0223382,0.003145,,11.162,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
352_,D13,HISPANIC,,1.98906,0.0296758,0.0149195,,11.184,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
352_,D13,CAUCASIAN,,2.5999,0.00949687,0.00365279,,11.226,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
352_,D16,CAUCASIAN,,5.42637,0.00386369,0.00071202,,3.582,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
352_,D16,BLACK,,5.69941,0.00384006,0.000673763,,3.622,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
352_,D16,HISPANIC,,6.87548,0.00283691,0.000412613,,3.606,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
352_,D16,ASIAN,,6.48927,0.00226587,0.000349172,,3.617,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
352_,D2,CAUCASIAN,,0.0756741,0.000147507,0.00194924,,10.917,,0.88,0.1,0.02,0.98,0.02,,0.88,0.1,0.02,0.98,0.02
352_,D2,BLACK,,0.0297982,4.07741e-05,0.00136834,,11.072,,0.88,0.1,0.02,0.98,0.02,,0.88,0.1,0.02,0.98,0.02
352_,D2,ASIAN,,0.0678172,4.84277e-05,0.000714091,,11.06,,0.88,0.1,0.02,0.98,0.02,,0.88,0.1,0.02,0.98,0.02
352_,D2,HISPANIC,,0.0328103,0.000370548,0.0112936,,11.089,,0.88,0.1,0.02,0.98,0.02,,0.88,0.1,0.02,0.98,0.02
352_,D19,CAUCASIAN,,7.23858,0.055711,0.00769641,,10.924,,0.76,0.19,0.05,0.98,0.02,,0.76,0.19,0.05,0.98,0.02
352_,D19,ASIAN,,1.69206,0.0187578,0.0110858,,11.014,,0.76,0.19,0.05,0.98,0.02,,0.76,0.19,0.05,0.98,0.02
352_,D19,HISPANIC,,3.85937,0.0326328,0.00845548,,11.08,,0.76,0.19,0.05,0.98,0.02,,0.76,0.19,0.05,0.98,0.02
352_,D19,BLACK,,6.28164,0.00700294,0.00111483,,11.118,,0.76,0.19,0.05,0.98,0.02,,0.76,0.19,0.05,0.98,0.02
352_,vWA,BLACK,,1.66768,0.000501756,0.000300871,,5.162,,0.82,0.11,0.07,0.98,0.02,,0.82,0.11,0.07,0.98,0.02
352_,vWA,ASIAN,,2.14392,0.00103357,0.000482095,,5.127,,0.82,0.11,0.07,0.98,0.02,,0.82,0.11,0.07,0.98,0.02
352_,vWA,HISPANIC,,1.4496,0.000929086,0.000640926,,5.173,,0.82,0.11,0.07,0.98,0.02,,0.82,0.11,0.07,0.98,0.02
352_,vWA,CAUCASIAN,,1.89283,0.00103412,0.000546336,,5.197,,0.82,0.11,0.07,0.98,0.02,,0.82,0.11,0.07,0.98,0.02
352_,TPOX,BLACK,,13.9659,0.0146044,0.00104572,,10.755,,0.8,0.18,0.02,0.98,0.02,,0.8,0.18,0.02,0.98,0.02
352_,TPOX,CAUCASIAN,,10.1643,0.00760407,0.000748115,,10.781,,0.8,0.18,0.02,0.98,0.02,,0.8,0.18,0.02,0.98,0.02
352_,TPOX,ASIAN,,18.2466,0.0161515,0.000885177,,10.86,,0.8,0.18,0.02,0.98,0.02,,0.8,0.18,0.02,0.98,0.02
352_,TPOX,HISPANIC,,4.82327,0.0117332,0.00243261,,10.882,,0.8,0.18,0.02,0.98,0.02,,0.8,0.18,0.02,0.98,0.02
352_,D18,BLACK,,6.47114,0.000273972,4.23376e-05,,5.122,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,D18,CAUCASIAN,,9.60249,0.00015427,1.60656e-05,,5.136,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,D18,HISPANIC,,9.33751,0.000171107,1.83247e-05,,5.127,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,D18,ASIAN,,10.3482,8.47798e-05,8.19274e-06,,5.135,,0.78,0.2,0.02,0.98,0.02,,0.78,0.2,0.02,0.98,0.02
352_,D5,CAUCASIAN,,1.28844,0.00970759,0.00753436,,5.166,,0.77,0.21,0.02,0.98,0.02,,0.77,0.21,0.02,0.98,0.02
352_,D5,BLACK,,1.45739,0.00566353,0.00388609,,5.206,,0.77,0.21,0.02,0.98,0.02,,0.77,0.21,0.02,0.98,0.02
352_,D5,HISPANIC,,1.22134,0.0129043,0.0105657,,5.202,,0.77,0.21,0.02,0.98,0.02,,0.77,0.21,0.02,0.98,0.02
352_,D5,ASIAN,,1.59839,0.0218554,0.0136734,,5.188,,0.77,0.21,0.02,0.98,0.02,,0.77,0.21,0.02,0.98,0.02
352_,FGA,ASIAN,,3.45855,2.80332e-05,8.10549e-06,,67.017,,0.63,0.35,0.02,0.98,0.02,,0.63,0.35,0.02,0.98,0.02
352_,FGA,BLACK,,4.94567,2.43486e-05,4.92323e-06,,67.988,,0.63,0.35,0.02,0.98,0.02,,0.63,0.35,0.02,0.98,0.02
352_,FGA,HISPANIC,,2.19593,2.29097e-05,1.04328e-05,,68.529,,0.63,0.35,0.02,0.98,0.02,,0.63,0.35,0.02,0.98,0.02
352_,FGA,CAUCASIAN,,2.34155,3.10442e-05,1.3258e-05,,68.838,,0.63,0.35,0.02,0.98,0.02,,0.63,0.35,0.02,0.98,0.02
Overall:,15 Files,BLACK,,1736.51,6.95882e-46,4.00735e-49,,186.199
Overall:,15 Files,CAUCASIAN,,505.37,5.33637e-44,1.05593e-46,,186.199
Overall:,15 Files,HISPANIC,,63.1804,3.12637e-43,4.94832e-45,,186.199
Overall:,15 Files,ASIAN,,16301.3,7.81387e-45,4.79341e-49,,186.199
353_,D8,BLACK,,1.86198,0.00454448,0.00244067,,10.884,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D8,ASIAN,,1.50883,0.00230903,0.00153034,,10.966,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D8,HISPANIC,,2.31954,0.00494149,0.00213038,,11.006,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D8,CAUCASIAN,,1.81921,0.00379314,0.00208505,,11.042,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D21,CAUCASIAN,,4.14941,0.0403329,0.00972015,,3.593,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D21,BLACK,,7.8988,0.0108632,0.0013753,,3.629,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D21,HISPANIC,,5.16634,0.0251977,0.00487728,,3.624,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D21,ASIAN,,3.48256,0.0552471,0.0158639,,3.628,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D7,BLACK,,7.83073,0.000507866,6.48555e-05,,10.373,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D7,CAUCASIAN,,9.37675,0.000426081,4.54401e-05,,10.386,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D7,ASIAN,,12.6289,0.000238713,1.89021e-05,,10.386,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D7,HISPANIC,,9.44429,0.000553975,5.86572e-05,,10.479,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,CSF,HISPANIC,,0.00482653,2.61162e-06,0.000541097,,3.279,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,CSF,CAUCASIAN,,0.00542553,2.06678e-06,0.000380935,,3.312,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,CSF,BLACK,,0.00449029,3.01741e-06,0.000671986,,3.341,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,CSF,ASIAN,,0.00707025,1.21701e-06,0.000172132,,3.34,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D3,BLACK,,0.787961,0.00014873,0.000188753,,10.71,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D3,HISPANIC,,0.656269,0.000128294,0.00019549,,10.786,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D3,ASIAN,,0.856249,0.000181875,0.000212409,,10.789,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D3,CAUCASIAN,,0.662364,0.000104357,0.000157552,,10.849,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TH01,HISPANIC,,1.75759,0.00419345,0.00238591,,10.736,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TH01,BLACK,,7.50046,0.00147826,0.000197089,,10.797,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TH01,CAUCASIAN,,1.48497,0.00641609,0.00432067,,10.883,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TH01,ASIAN,,10.3429,0.00443081,0.000428393,,10.857,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D13,CAUCASIAN,,2.72084,0.0164997,0.0060642,,10.916,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D13,BLACK,,1.37575,0.0305494,0.0222056,,11.064,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D13,ASIAN,,7.39764,0.0375034,0.00506964,,11.057,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D13,HISPANIC,,2.07837,0.0519539,0.0249974,,11.082,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D16,CAUCASIAN,,7.20119,0.000934866,0.000129821,,3.583,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D16,BLACK,,7.61133,0.000914333,0.000120128,,3.624,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D16,HISPANIC,,9.47682,0.000647776,6.83537e-05,,3.609,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D16,ASIAN,,8.91373,0.000536901,6.02331e-05,,3.61,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
