Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
401_,D8,BLACK,,5.28798,0.188317,0.0356122,,10.932,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D8,ASIAN,,5.20388,0.0529303,0.0101713,,10.937,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D8,HISPANIC,,6.23337,0.0783428,0.0125683,,11.052,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D8,CAUCASIAN,,6.64252,0.0731145,0.011007,,11.072,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D21,HISPANIC,,4.27459,0.0395493,0.00925218,,11.019,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D21,ASIAN,,4.28816,0.0155381,0.00362349,,11.093,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D21,CAUCASIAN,,4.94276,0.0600905,0.0121573,,11.146,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D21,BLACK,,21.72,0.0420003,0.00193371,,11.617,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D7,BLACK,,3.30536,0.0660536,0.0199838,,3.65,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D7,CAUCASIAN,,3.12271,0.0686191,0.0219742,,3.65,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D7,HISPANIC,,3.35481,0.0594618,0.0177243,,3.645,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D7,ASIAN,,3.83135,0.0571383,0.0149134,,3.631,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,CSF,BLACK,,1.01465,0.00289187,0.00285012,,10.919,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,CSF,HISPANIC,,1.03559,0.000633895,0.000612108,,10.905,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,CSF,ASIAN,,1.30009,0.00186476,0.00143434,,11.021,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,CSF,CAUCASIAN,,0.985587,0.00181859,0.00184519,,11.063,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D3,HISPANIC,,1.95449,0.227056,0.116171,,11.029,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D3,ASIAN,,3.8649,0.275006,0.0711548,,11.18,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D3,BLACK,,3.05786,0.237764,0.0777551,,11.248,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D3,CAUCASIAN,,2.63352,0.185572,0.0704654,,11.284,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,TH01,HISPANIC,,1.81618,0.180461,0.0993628,,10.999,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,TH01,CAUCASIAN,,1.33175,0.134844,0.101253,,11.04,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,TH01,ASIAN,,3.43688,0.117947,0.0343179,,11.07,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,TH01,BLACK,,4.23293,0.0904185,0.0213608,,11.207,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D13,CAUCASIAN,,4.48827,0.0158834,0.00353887,,3.656,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D13,BLACK,,3.08201,0.0433941,0.0140798,,3.684,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D13,ASIAN,,21.8687,0.000637269,2.91408e-05,,3.687,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D13,HISPANIC,,4.12714,0.0262506,0.00636048,,3.711,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D16,CAUCASIAN,,2.27027,0.130452,0.0574609,,3.653,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D16,BLACK,,3.67775,0.0505457,0.0137437,,3.727,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D16,HISPANIC,,4.36271,0.0356362,0.00816836,,3.746,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D16,ASIAN,,4.1303,0.0399675,0.00967665,,3.693,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
401_,D2,BLACK,,6.41304,0.00624507,0.000973807,,10.902,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
