Case,C1 LR,C2 LR,C3 LR,C4 LR
390,4.26E+05,2.15E+04,2.78E+01,n/a
391,5.43E+01,9.40E-20,5.06E+08,n/a
392,6.84E+04,6.35E+06,5.16E+07,n/a
393,1.06E+06,4.60E+05,3.16E+08,n/a
394,2.66E+01,3.31E+08,3.18E+02,n/a
395,1.05E+06,2.04E+04,6.81E+06,n/a
396,3.47E+05,6.61E+04,3.00E+04,n/a
397,4.75E+05,2.49E+06,5.05E+08,n/a
398,5.00E+05,4.79E+06,5.55E+07,n/a
399,9.07E+01,5.84E+06,1.26E+08,n/a
400,9.16E+01,6.45E+06,1.91E+08,n/a
401,2.71E+05,1.39E+04,1.26E+08,n/a
402,1.76E+05,9.11E+06,1.54E+08,n/a
403,9.07E+01,5.84E+06,1.26E+08,n/a
404,4.63E+01,7.65E+06,1.41E+08,n/a
405,7.43E+05,9.63E+04,5.90E+03,n/a
406,7.46E+04,9.81E+04,3.42E+05,n/a
407,7.85E+06,3.41E+01,1.13E+08,n/a
408,1.79E+05,2.30E+04,1.79E+08,n/a
409,4.21E+05,9.88E+03,1.57E+08,n/a
410,2.10E+05,4.65E+06,9.95E+07,n/a
411,3.37E+07,3.71E+04,1.29E+05,n/a
412,4.59E+04,6.35E+07,3.71E+03,n/a
413,4.62E+05,9.08E+07,7.58E+04,n/a
414,1.38E+04,4.91E+06,1.90E+08,n/a
415,4.83E+05,3.78E+06,2.87E+06,n/a
416,4.44E+05,1.16E+03,5.93E+04,n/a
417,7.79E+04,9.47E+10,1.31E+10,n/a
418,3.43E+08,2.96E+05,8.29E+06,n/a
419,1.69E+05,9.60E+05,7.74E+08,n/a
420,5.16E+04,3.02E+05,1.51E+06,n/a
421,9.65E+04,7.12E+03,4.64E+07,n/a
422,3.82E+01,4.35E+05,1.75E+06,n/a
423,2.22E+02,1.43E-05,4.82E+08,n/a
424,6.89E+02,1.86E+09,6.78E+05,n/a
425,7.66E+00,2.38E+09,2.36E+11,n/a
426,7.49E+02,8.57E-04,8.01E+09,n/a
427,1.01E+06,1.91E+04,1.11E+07,n/a
428,7.36E+05,4.24E+05,3.76E+07,n/a
429,3.94E+05,1.87E+03,5.20E+06,n/a
430,1.73E+02,2.26E+03,1.08E+08,n/a
431,7.40E+02,5.68E+02,6.97E+09,n/a
432,1.63E+07,2.76E+08,2.75E+05,n/a
433,1.66E+03,3.57E-08,2.31E+05,n/a
434,2.44E+02,1.42E+09,6.14E+05,n/a
435,1.33E+08,1.48E+07,3.73E+05,n/a
436,6.26E+08,1.54E+04,3.90E+05,n/a
437,3.17E-04,4.95E+06,7.26E+07,n/a
438,1.20E-01,3.80E+06,6.47E+08,n/a
439,1.34E+07,3.65E+06,5.78E+05,n/a
440,1.03E+04,2.57E+05,2.70E+06,n/a
441,5.92E+05,4.88E+03,1.88E+05,n/a
442,6.08E-03,8.03E+04,2.82E+05,n/a
443,6.15E+02,2.88E+04,2.47E+04,n/a
444,9.74E+04,6.66E+02,3.17E+07,n/a
445,3.54E+02,3.05E+07,5.27E+08,n/a
446,5.30E+01,1.91E+09,2.15E+07,n/a
447,4.90E-01,9.05E+03,3.10E+06,n/a
448,4.28E-03,1.61E+00,1.92E+05,n/a
449,1.10E-01,1.23E+05,5.14E+01,n/a
450,2.70E+02,5.04E+01,1.88E+03,n/a
451,4.27E+04,1.58E+04,4.02E+07,n/a
452,5.99E+07,5.53E+03,3.34E+07,n/a
453,2.51E+02,1.66E+03,8.71E+06,n/a
454,6.24E+00,4.11E+01,7.63E+10,n/a
455,2.39E+02,6.81E+05,5.83E+09,n/a
456,3.60E-01,1.02E+05,9.66E+08,n/a
457,5.65E-03,4.46E+04,7.51E+08,n/a
458,6.73E+04,9.37E-07,1.66E+07,n/a
459,5.61E+04,2.33E+02,2.74E+10,n/a
460,2.03E+01,2.01E+03,9.89E+08,n/a
461,1.23E+07,2.31E+00,6.68E+06,n/a
462,9.95E-06,1.49E+05,9.57E+05,n/a
463,2.61E+02,1.00E+03,1.23E+08,n/a
464,1.87E-16,1.62E-15,1.11E-12,5.19E+07
465,9.02E-19,1.06E+05,6.00E-02,2.57E-08
466,9.57E+07,1.78E-11,5.89E-06,2.69E+07
467,1.69E-07,6.00E-11,2.38E+02,1.88E+07
468,4.77E-05,1.63E-10,3.05E-12,8.77E+08
469,3.09E-06,6.71E-11,5.00E-02,3.76E+06
470,5.11E+04,4.29E+01,2.69E-09,2.87E-29
471,3.73E+06,5.08E-09,3.23E+03,4.16E-09
472,2.32E+05,8.62E-21,3.83E-13,1.15E+07
473,7.99E+04,1.65E-05,1.10E+02,2.18E-16
474,1.14E+10,5.39E-13,1.03E+07,1.55E-06
475,2.04E-15,7.00E+08,3.58E-15,1.20E+05
476,2.64E-11,3.12E-06,1.46E+00,1.60E+08
477,9.81E-04,2.09E+02,2.61E-03,8.00E-02
478,4.52E+05,2.84E-13,1.82E+01,2.00E-01
479,2.07E+09,4.95E-14,5.98E-15,4.96E+07
480,5.40E-01,1.01E-09,2.62E+01,2.70E+04
