Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
273_,D8,BLACK,,3.69999,0.000508899,0.00013754,,49.401,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
273_,D8,CAUCASIAN,,2.50198,0.000559738,0.000223718,,49.65,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
273_,D8,HISPANIC,,3.93162,0.000743115,0.00018901,,49.857,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
273_,D8,ASIAN,,1.58241,0.0005479,0.000346245,,50.244,,0.64,0.34,0.02,0.98,0.02,,0.64,0.34,0.02,0.98,0.02
273_,D21,ASIAN,,0.70674,3.30925e-06,4.68241e-06,,48.029,,0.63,0.33,0.04,0.96,0.04,,0.63,0.33,0.04,0.96,0.04
273_,D21,HISPANIC,,0.901118,3.38768e-06,3.75941e-06,,48.168,,0.63,0.33,0.04,0.96,0.04,,0.63,0.33,0.04,0.96,0.04
273_,D21,CAUCASIAN,,0.745204,5.83858e-06,7.83488e-06,,48.69,,0.63,0.33,0.04,0.96,0.04,,0.63,0.33,0.04,0.96,0.04
273_,D21,BLACK,,1.26205,2.81447e-06,2.23008e-06,,48.867,,0.63,0.33,0.04,0.96,0.04,,0.63,0.33,0.04,0.96,0.04
273_,D7,CAUCASIAN,,15.8922,0.00117642,7.40253e-05,,19.663,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
273_,D7,HISPANIC,,21.1278,0.00113297,5.36244e-05,,19.804,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
273_,D7,BLACK,,16.3557,0.000972871,5.94822e-05,,19.878,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
273_,D7,ASIAN,,22.227,0.00168368,7.57493e-05,,19.801,,0.75,0.23,0.02,0.98,0.02,,0.75,0.23,0.02,0.98,0.02
273_,CSF,BLACK,,3.50841,0.000579956,0.000165304,,8.995,,0.64,0.34,0.02,0.95,0.05,,0.64,0.34,0.02,0.95,0.05
273_,CSF,CAUCASIAN,,3.61768,0.000806737,0.000222998,,9.095,,0.64,0.34,0.02,0.95,0.05,,0.64,0.34,0.02,0.95,0.05
273_,CSF,HISPANIC,,2.84805,0.000965989,0.000339176,,9.053,,0.64,0.34,0.02,0.95,0.05,,0.64,0.34,0.02,0.95,0.05
273_,CSF,ASIAN,,2.69592,0.000814823,0.000302242,,9.012,,0.64,0.34,0.02,0.95,0.05,,0.64,0.34,0.02,0.95,0.05
273_,D3,CAUCASIAN,,5.03887,1.10379e-05,2.19054e-06,,46.843,,0.85,0.13,0.02,0.98,0.02,,0.85,0.13,0.02,0.98,0.02
273_,D3,BLACK,,6.68695,1.56645e-05,2.34255e-06,,47.124,,0.85,0.13,0.02,0.98,0.02,,0.85,0.13,0.02,0.98,0.02
273_,D3,ASIAN,,9.02921,1.93628e-05,2.14446e-06,,47.096,,0.85,0.13,0.02,0.98,0.02,,0.85,0.13,0.02,0.98,0.02
273_,D3,HISPANIC,,4.3458,1.98584e-05,4.56957e-06,,47.479,,0.85,0.13,0.02,0.98,0.02,,0.85,0.13,0.02,0.98,0.02
273_,TH01,CAUCASIAN,,0.978475,0.00167034,0.00170709,,19.802,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,TH01,HISPANIC,,1.1124,0.00141425,0.00127135,,19.915,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,TH01,ASIAN,,9.69504,0.00404778,0.000417511,,19.884,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,TH01,BLACK,,4.91232,0.000591179,0.000120346,,20.019,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,D13,HISPANIC,,1.52153,3.07826e-05,2.02314e-05,,49.172,,0.69,0.29,0.02,0.98,0.02,,0.69,0.29,0.02,0.98,0.02
273_,D13,ASIAN,,5.77053,1.74613e-05,3.02594e-06,,49.294,,0.69,0.29,0.02,0.98,0.02,,0.69,0.29,0.02,0.98,0.02
273_,D13,CAUCASIAN,,2.02376,4.66576e-05,2.30549e-05,,49.48,,0.69,0.29,0.02,0.98,0.02,,0.69,0.29,0.02,0.98,0.02
273_,D13,BLACK,,1.07009,1.28663e-05,1.20236e-05,,49.646,,0.69,0.29,0.02,0.98,0.02,,0.69,0.29,0.02,0.98,0.02
273_,D16,CAUCASIAN,,2.73369,1.43396e-05,5.24553e-06,,19.109,,0.76,0.22,0.02,0.93,0.07,,0.76,0.22,0.02,0.93,0.07
273_,D16,HISPANIC,,3.2488,1.18726e-05,3.65447e-06,,19.24,,0.76,0.22,0.02,0.93,0.07,,0.76,0.22,0.02,0.93,0.07
273_,D16,ASIAN,,2.98801,1.00194e-05,3.3532e-06,,19.243,,0.76,0.22,0.02,0.93,0.07,,0.76,0.22,0.02,0.93,0.07
273_,D16,BLACK,,2.70216,1.47996e-05,5.47697e-06,,19.351,,0.76,0.22,0.02,0.93,0.07,,0.76,0.22,0.02,0.93,0.07
273_,D2,BLACK,,1.65628,5.86096e-08,3.53862e-08,,112.792,,0.55,0.38,0.07,0.98,0.02,,0.55,0.38,0.07,0.98,0.02
273_,D2,ASIAN,,3.05147,7.50366e-08,2.45903e-08,,112.933,,0.55,0.38,0.07,0.98,0.02,,0.55,0.38,0.07,0.98,0.02
273_,D2,HISPANIC,,2.95207,7.66461e-08,2.59635e-08,,114.168,,0.55,0.38,0.07,0.98,0.02,,0.55,0.38,0.07,0.98,0.02
273_,D2,CAUCASIAN,,3.77147,1.31806e-07,3.49481e-08,,114.392,,0.55,0.38,0.07,0.98,0.02,,0.55,0.38,0.07,0.98,0.02
273_,D19,CAUCASIAN,,8.37197,0.00180064,0.00021508,,19.666,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
273_,D19,HISPANIC,,4.36672,0.000988244,0.000226313,,19.789,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
273_,D19,ASIAN,,1.98324,0.00109572,0.000552489,,19.779,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
273_,D19,BLACK,,6.70335,0.000929648,0.000138684,,19.945,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
273_,vWA,CAUCASIAN,,0.922441,1.61798e-05,1.75402e-05,,117.075,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,vWA,HISPANIC,,0.711886,8.68158e-06,1.21952e-05,,117.343,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,vWA,ASIAN,,1.14591,2.08341e-05,1.81813e-05,,118.263,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,vWA,BLACK,,0.767465,4.79729e-06,6.25082e-06,,118.789,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,TPOX,CAUCASIAN,,7.75981,0.0012096,0.00015588,,19.716,,0.75,0.23,0.02,0.94,0.06,,0.75,0.23,0.02,0.94,0.06
273_,TPOX,ASIAN,,20.0323,0.00144735,7.22507e-05,,19.785,,0.75,0.23,0.02,0.94,0.06,,0.75,0.23,0.02,0.94,0.06
273_,TPOX,BLACK,,22.3371,0.000708547,3.17206e-05,,20.017,,0.75,0.23,0.02,0.94,0.06,,0.75,0.23,0.02,0.94,0.06
273_,TPOX,HISPANIC,,5.93867,0.00109941,0.000185128,,20.043,,0.75,0.23,0.02,0.94,0.06,,0.75,0.23,0.02,0.94,0.06
273_,D18,ASIAN,,11.151,8.78781e-07,7.88077e-08,,111.236,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,D18,HISPANIC,,9.95628,4.90776e-07,4.92931e-08,,111.295,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,D18,BLACK,,8.00954,6.45687e-07,8.06148e-08,,112.281,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,D18,CAUCASIAN,,10.0272,5.77563e-07,5.75997e-08,,112.577,,0.68,0.3,0.02,0.98,0.02,,0.68,0.3,0.02,0.98,0.02
273_,D5,BLACK,,1.03817,0.0360513,0.0347258,,9.288,,0.72,0.26,0.02,0.98,0.02,,0.72,0.26,0.02,0.98,0.02
273_,D5,HISPANIC,,0.909935,0.0260587,0.028638,,9.238,,0.72,0.26,0.02,0.98,0.02,,0.72,0.26,0.02,0.98,0.02
273_,D5,CAUCASIAN,,0.923471,0.0408513,0.0442367,,9.276,,0.72,0.26,0.02,0.98,0.02,,0.72,0.26,0.02,0.98,0.02
273_,D5,ASIAN,,1.29553,0.00890326,0.00687227,,9.244,,0.72,0.26,0.02,0.98,0.02,,0.72,0.26,0.02,0.98,0.02
273_,FGA,HISPANIC,,2.76684,2.50494e-06,9.05343e-07,,122.146,,0.64,0.28,0.08,0.98,0.02,,0.64,0.28,0.08,0.98,0.02
273_,FGA,BLACK,,6.29958,5.24649e-06,8.32832e-07,,122.281,,0.64,0.28,0.08,0.98,0.02,,0.64,0.28,0.08,0.98,0.02
273_,FGA,CAUCASIAN,,2.82673,5.29187e-06,1.87208e-06,,122.366,,0.64,0.28,0.08,0.98,0.02,,0.64,0.28,0.08,0.98,0.02
