Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
1_,D8,BLACK,,0.105286,3.38899e-05,0.000321884,,14.558,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,HISPANIC,,0.225391,0.000141381,0.000627271,,14.461,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,ASIAN,,0.245593,0.000176234,0.000717586,,14.421,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,CAUCASIAN,,0.170339,0.000133565,0.000784113,,14.527,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D21,HISPANIC,,5.91932,0.0056132,0.000948283,,32.506,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,ASIAN,,4.08034,0.0143961,0.00352816,,30.048,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,BLACK,,8.2612,0.0171571,0.00207684,,37.146,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,CAUCASIAN,,6.20848,0.00724383,0.00116677,,35.76,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D7,BLACK,,0.169566,9.62489e-05,0.000567619,,26.187,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,CAUCASIAN,,0.203169,0.00011992,0.000590245,,23.405,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,HISPANIC,,0.219151,0.000110556,0.000504476,,46.566,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,ASIAN,,0.401285,0.000137378,0.000342345,,41.29,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,CSF,BLACK,,1.31563,0.0193848,0.0147343,,28.015,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,CSF,CAUCASIAN,,1.46465,0.018509,0.0126372,,26.643,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,CSF,HISPANIC,,1.30055,0.0223081,0.0171528,,25.692,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,CSF,ASIAN,,1.53416,0.0236368,0.015407,,23.334,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,D3,HISPANIC,,1.2465,0.000635659,0.000509956,,26.787,,0.44,0.5,0.06,0.872,0.128,,0.44,0.5,0.06,0.872,0.128
1_,D3,BLACK,,1.06889,0.000376881,0.000352591,,37.263,,0.44,0.5,0.06,0.872,0.128,,0.44,0.5,0.06,0.872,0.128
1_,D3,ASIAN,,1.0035,0.000295786,0.000294755,,32.993,,0.44,0.5,0.06,0.872,0.128,,0.44,0.5,0.06,0.872,0.128
1_,D3,CAUCASIAN,,1.17867,0.000430108,0.00036491,,36.052,,0.44,0.5,0.06,0.872,0.128,,0.44,0.5,0.06,0.872,0.128
1_,TH01,CAUCASIAN,,1.53909,0.00383576,0.00249223,,16.74,,0.572,0.368,0.06,0.94,0.06,,0.572,0.368,0.06,0.94,0.06
1_,TH01,BLACK,,3.96737,0.000923428,0.000232756,,18.985,,0.572,0.368,0.06,0.94,0.06,,0.572,0.368,0.06,0.94,0.06
1_,TH01,HISPANIC,,1.8205,0.00304446,0.00167232,,42.455,,0.572,0.368,0.06,0.94,0.06,,0.572,0.368,0.06,0.94,0.06
1_,TH01,ASIAN,,2.08355,0.00211731,0.0010162,,39.951,,0.572,0.368,0.06,0.94,0.06,,0.572,0.368,0.06,0.94,0.06
1_,D13,ASIAN,,0.000838584,1.13142e-06,0.0013492,,31.157,,0.442,0.424,0.134,0.968,0.032,,0.442,0.424,0.134,0.968,0.032
1_,D13,BLACK,,0.000192286,4.93968e-06,0.0256892,,32.789,,0.442,0.424,0.134,0.968,0.032,,0.442,0.424,0.134,0.968,0.032
1_,D13,CAUCASIAN,,0.000241114,3.93908e-06,0.016337,,32.005,,0.442,0.424,0.134,0.968,0.032,,0.442,0.424,0.134,0.968,0.032
1_,D13,HISPANIC,,0.000254413,3.7331e-06,0.0146734,,31.281,,0.442,0.424,0.134,0.968,0.032,,0.442,0.424,0.134,0.968,0.032
1_,D16,BLACK,,3.87086,0.000441761,0.000114125,,24.188,,0.548,0.27,0.182,0.846,0.154,,0.548,0.27,0.182,0.846,0.154
1_,D16,CAUCASIAN,,3.78378,0.000217348,5.74421e-05,,20.512,,0.548,0.27,0.182,0.846,0.154,,0.548,0.27,0.182,0.846,0.154
1_,D16,HISPANIC,,4.35948,0.000504344,0.000115689,,31.217,,0.548,0.27,0.182,0.846,0.154,,0.548,0.27,0.182,0.846,0.154
1_,D16,ASIAN,,4.35634,0.000527751,0.000121146,,31.745,,0.548,0.27,0.182,0.846,0.154,,0.548,0.27,0.182,0.846,0.154
1_,D2,BLACK,,0.348162,0.0140132,0.040249,,27.011,,0.35,0.5,0.15,0.9,0.1,,0.35,0.5,0.15,0.9,0.1
1_,D2,CAUCASIAN,,0.351458,0.0136348,0.0387951,,24.655,,0.35,0.5,0.15,0.9,0.1,,0.35,0.5,0.15,0.9,0.1
1_,D2,HISPANIC,,0.289803,0.0220556,0.0761056,,15.332,,0.35,0.5,0.15,0.9,0.1,,0.35,0.5,0.15,0.9,0.1
1_,D2,ASIAN,,0.300358,0.0203868,0.0678752,,22.091,,0.35,0.5,0.15,0.9,0.1,,0.35,0.5,0.15,0.9,0.1
1_,D19,BLACK,,2.76613,1.18533e-06,4.28518e-07,,40.11,,0.454,0.42,0.126,0.928,0.072,,0.454,0.42,0.126,0.928,0.072
1_,D19,ASIAN,,2.01685,3.13272e-07,1.55327e-07,,27.312,,0.454,0.42,0.126,0.928,0.072,,0.454,0.42,0.126,0.928,0.072
072
1_,D19,HISPANIC,,1.09474,1.21694e-06,1.11163e-06,,32.498,,0.454,0.42,0.126,0.928,0.072,,0.454,0.42,0.126,0.928,0.072
1_,vWA,CAUCASIAN,,0.000349998,8.84702e-07,0.00252774,,30.573,,0.44,0.412,0.148,0.934,0.066,,0.44,0.412,0.148,0.934,0.066
1_,vWA,HISPANIC,,0.000443298,4.31341e-07,0.000973027,,26.984,,0.44,0.412,0.148,0.934,0.066,,0.44,0.412,0.148,0.934,0.066
1_,vWA,BLACK,,0.000520742,2.50005e-07,0.000480094,,33.119,,0.44,0.412,0.148,0.934,0.066,,0.44,0.412,0.148,0.934,0.066
1_,vWA,ASIAN,,0.00027684,1.63773e-06,0.00591579,,21.473,,0.44,0.412,0.148,0.934,0.066,,0.44,0.412,0.148,0.934,0.066
1_,TPOX,BLACK,,0.420484,0.00107398,0.00255415,,25.124,,0.562,0.392,0.046,0.864,0.136,,0.562,0.392,0.046,0.864,0.136
1_,TPOX,CAUCASIAN,,0.803127,0.00139996,0.00174313,,24.251,,0.562,0.392,0.046,0.864,0.136,,0.562,0.392,0.046,0.864,0.136
1_,TPOX,HISPANIC,,0.374017,0.00154038,0.00411847,,27.669,,0.562,0.392,0.046,0.864,0.136,,0.562,0.392,0.046,0.864,0.136
1_,TPOX,ASIAN,,0.427895,0.00164947,0.00385486,,27.664,,0.562,0.392,0.046,0.864,0.136,,0.562,0.392,0.046,0.864,0.136
1_,D18,BLACK,,0.424811,6.74877e-05,0.000158865,,24.921,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D18,CAUCASIAN,,0.543842,5.89518e-05,0.000108399,,20.005,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D18,HISPANIC,,0.527413,6.09024e-05,0.000115474,,33.18,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D18,ASIAN,,0.566007,6.67603e-05,0.00011795,,28.003,,0.43,0.464,0.106,0.778,0.222,,0.43,0.464,0.106,0.778,0.222
1_,D5,BLACK,,19.8852,0.00150645,7.57577e-05,,21.586,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,CAUCASIAN,,12.1338,0.00166704,0.000137388,,18.635,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,HISPANIC,,9.0836,0.00138585,0.000152566,,17.687,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,D5,ASIAN,,3.5503,0.00201919,0.000568737,,17.529,,0.552,0.416,0.032,0.952,0.048,,0.552,0.416,0.032,0.952,0.048
1_,FGA,CAUCASIAN,,1.90334,1.93937e-05,1.01893e-05,,30.709,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,BLACK,,1.89329,2.85567e-05,1.50831e-05,,34.237,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,ASIAN,,0.881142,2.53802e-05,2.88037e-05,,20.454,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
1_,FGA,HISPANIC,,2.27534,2.62659e-05,1.15437e-05,,25.938,,0.43,0.354,0.216,0.912,0.088,,0.43,0.354,0.216,0.912,0.088
Overall:,15 Files,BLACK,,2.0656e-06,1.06679e-56,5.16453e-51,,591.752
Overall:,15 Files,CAUCASIAN,,4.81898e-07,1.44099e-55,2.99024e-49,,591.752
Overall:,15 Files,HISPANIC,,5.48771e-07,2.81941e-55,5.13769e-49,,591.752
Overall:,15 Files,ASIAN,,5.98739e-07,1.81847e-55,3.03716e-49,,591.752
2_,D8,HISPANIC,,0.0599977,7.28582e-05,0.00121435,,13.521,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D8,ASIAN,,0.0491097,7.34538e-05,0.00149571,,13.441,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D8,BLACK,,0.0324129,0.000182942,0.00564409,,14.82,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
