Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
118_,D8,BLACK,,3.04886,0.0125509,0.00411658,,29.671,,0.90584,0.07416,0.02,0.98,0.02,,0.90584,0.07416,0.02,0.98,0.02
118_,D8,CAUCASIAN,,5.44798,0.0377711,0.00693304,,27.298,,0.90584,0.07416,0.02,0.98,0.02,,0.90584,0.07416,0.02,0.98,0.02
118_,D8,HISPANIC,,7.65346,0.0362676,0.00473872,,50.745,,0.90584,0.07416,0.02,0.98,0.02,,0.90584,0.07416,0.02,0.98,0.02
118_,D8,ASIAN,,8.90492,0.0329735,0.00370284,,46.163,,0.90584,0.07416,0.02,0.98,0.02,,0.90584,0.07416,0.02,0.98,0.02
118_,D21,CAUCASIAN,,11.4536,0.00268408,0.000234343,,26.978,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
118_,D21,HISPANIC,,23.5771,0.00398249,0.000168913,,25.438,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
118_,D21,BLACK,,10.8134,0.000837635,7.74628e-05,,27.834,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
118_,D21,ASIAN,,69.0945,0.00411331,5.95316e-05,,24.822,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
118_,D7,BLACK,,0.0326041,0.000174233,0.00534391,,23.596,,0.9196,0.0604,0.02,0.98,0.02,,0.9196,0.0604,0.02,0.98,0.02
118_,D7,CAUCASIAN,,0.0423069,0.000188318,0.00445122,,20.456,,0.9196,0.0604,0.02,0.98,0.02,,0.9196,0.0604,0.02,0.98,0.02
118_,D7,HISPANIC,,0.0317064,0.000272405,0.00859147,,35.131,,0.9196,0.0604,0.02,0.98,0.02,,0.9196,0.0604,0.02,0.98,0.02
118_,D7,ASIAN,,0.028666,0.000323991,0.0113023,,29.852,,0.9196,0.0604,0.02,0.98,0.02,,0.9196,0.0604,0.02,0.98,0.02
118_,CSF,BLACK,,3.15319,0.118785,0.0376714,,18.081,,0.73948,0.24,0.02052,0.98,0.02,,0.73948,0.24,0.02052,0.98,0.02
118_,CSF,CAUCASIAN,,2.82302,0.207122,0.0733688,,18.923,,0.73948,0.24,0.02052,0.98,0.02,,0.73948,0.24,0.02052,0.98,0.02
118_,CSF,HISPANIC,,2.42824,0.180803,0.0744584,,29.857,,0.73948,0.24,0.02052,0.98,0.02,,0.73948,0.24,0.02052,0.98,0.02
118_,CSF,ASIAN,,2.34366,0.162409,0.0692973,,29.163,,0.73948,0.24,0.02052,0.98,0.02,,0.73948,0.24,0.02052,0.98,0.02
118_,D3,CAUCASIAN,,0.35468,0.000740044,0.00208651,,27.873,,0.92272,0.05728,0.02,0.98,0.02,,0.92272,0.05728,0.02,0.98,0.02
