Case,,FST Column,FST LR,,reQBT Race,reQBT LR
183,,C1,0.45,,ASIAN,0.448358
184,,C1,1.3e-07,,CAUCASIAN,1.30316e-07
185,,C1,53200000.0,,CAUCASIAN,53194100.0
188,,C1,8620000000.0,,ASIAN,8553360000.0
192,,C1,1560000.0,,CAUCASIAN,1564360.0
199,,C1,24800000.0,,CAUCASIAN,24640600.0
200,,C1,74700000.0,,ASIAN,73788300.0
201,,C1,0.00159,,CAUCASIAN,0.00158771
202,,C1,848000000.0,,CAUCASIAN,848035000.0
203,,C1,5.98e-05,,ASIAN,5.93897e-05
204,,C1,8.54e+12,,ASIAN,8.48524e+12
205,,C1,6700.0,,CAUCASIAN,6697.34
206,,C1,3.57,,ASIAN,3.53844
208,,C1,427000000.0,,CAUCASIAN,427247000.0
210,,C1,960000000.0,,BLACK,959606000.0
211,,C1,6500000.0,,BLACK,6502800.0
212,,C1,52300000.0,,BLACK,52344400.0
213,,C1,36700000000.0,,BLACK,36720900000.0
214,,C1,79000000.0,,BLACK,78990200.0
215,,C1,2890000000.0,,ASIAN,2861020000.0
216,,C1,33000000000.0,,CAUCASIAN,33008900000.0
217,,C1,41200000.0,,CAUCASIAN,41232600.0
218,,C1,36500000.0,,BLACK,36520500.0
222,,C1,242000.0,,BLACK,242443.0
223,,C1,5.4,,BLACK,5.40305
225,,C1,33800000000.0,,BLACK,34058600000.0
228,,C1,38600000000.0,,BLACK,38214400000.0
229,,C1,4.94e+11,,ASIAN,4.90426e+11
230,,C1,5300000000.0,,ASIAN,5240900000.0
231,,C1,11900000000.0,,ASIAN,11744200000.0
232,,C1,1.04e+11,,CAUCASIAN,1.04086e+11
233,,C1,47700000.0,,BLACK,47654200.0
234,,C1,266.0,,BLACK,268.311
235,,C1,297000000.0,,BLACK,296790000.0
237,,C1,19600.0,,BLACK,19618.4
239,,C1,40200.0,,BLACK,40212.4
243,,C1,9.36e-05,,BLACK,9.35713e-05
244,,C1,45200000000.0,,BLACK,45220800000.0
249,,C1,1.02e-05,,HISPANIC,1.01784e-05
250,,C1,14900000000.0,,BLACK,14887300000.0
251,,C1,13000000000.0,,BLACK,12999800000.0
253,,C1,4.98e+11,,ASIAN,4.957e+11
254,,C1,512000.0,,ASIAN,506318.0
256,,C1,13600.0,,CAUCASIAN,13583.3
257,,C1,4.05e-07,,CAUCASIAN,4.05348e-07
259,,C1,9.11e-07,,HISPANIC,9.10693e-07
261,,C1,6.41e-31,,BLACK,6.40554e-31
262,,C1,3.59e+11,,ASIAN,3.57588e+11
265,,C1,4.31e-15,,ASIAN,4.25179e-15
266,,C1,7.39e-29,,CAUCASIAN,7.49478e-29
270,,C1,1.36e-21,,HISPANIC,1.35955e-21
1,,C2,3880000000.0,,HISPANIC,3878430000.0
2,,C2,1.3e+11,,CAUCASIAN,1.30211e+11
3,,C2,5.02e-06,,CAUCASIAN,5.02007e-06
5,,C2,1.77e+11,,ASIAN,1.76099e+11
6,,C2,6960000000.0,,CAUCASIAN,6955580000.0
10,,C2,2.06e+12,,CAUCASIAN,2.06438e+12
11,,C2,37900000000.0,,CAUCASIAN,37917200000.0
15,,C2,4.49e+13,,CAUCASIAN,4.49234e+13
17,,C2,8430000.0,,BLACK,8426180.0
20,,C2,29700.0,,CAUCASIAN,29709.9
21,,C2,23700.0,,HISPANIC,23719.2
23,,C1,154000000.0,,ASIAN,156621000.0
24,,C2,4960.0,,HISPANIC,4960.2
25,,C2,104.0,,BLACK,104.373
28,,C2,598000000.0,,CAUCASIAN,598022000.0
29,,C2,0.29,,HISPANIC,0.29297
30,,C2,1380.0,,CAUCASIAN,1377.63
31,,C2,2330.0,,BLACK,2331.0
34,,C2,612.0,,ASIAN,605.616
36,,C2,147.0,,CAUCASIAN,147.45
37,,C2,957.0,,HISPANIC,956.734
38,,C2,33600000.0,,ASIAN,33311900.0
41,,C2,78000.0,,HISPANIC,77965.5
43,,C2,80400000.0,,HISPANIC,80424100.0
47,,C2,27500000.0,,HISPANIC,27489500.0
48,,C2,653.0,,CAUCASIAN,653.164
50,,C2,6.68e+11,,HISPANIC,6.67573e+11
51,,C2,11300.0,,CAUCASIAN,11275.7
52,,C2,106.0,,CAUCASIAN,105.713
53,,C2,678000000.0,,ASIAN,670215000.0
54,,C2,81200000.0,,HISPANIC,81226200.0
55,,C2,78600000.0,,HISPANIC,78601200.0
57,,C2,951000.0,,ASIAN,940551.0
60,,C2,99200000.0,,HISPANIC,99236100.0
61,,C2,2720000000.0,,ASIAN,2685820000.0
62,,C2,1660000000.0,,HISPANIC,1659900000.0
63,,C2,66700.0,,HISPANIC,66728.0
64,,C2,16500000.0,,CAUCASIAN,16453800.0
65,,C2,6400000.0,,HISPANIC,6401680.0
66,,C2,77200.0,,HISPANIC,77194.4
67,,C2,856.0,,HISPANIC,855.895
73,,C2,634000000.0,,CAUCASIAN,633744000.0
74,,C2,15100000000.0,,ASIAN,15047700000.0
75,,C2,456000.0,,HISPANIC,455600.0
76,,C2,4060000000.0,,BLACK,4061210000.0
77,,C2,10900000.0,,HISPANIC,10855000.0
78,,C2,381000000.0,,HISPANIC,380998000.0
79,,C2,16400000000.0,,ASIAN,16252100000.0
80,,C2,2830000000.0,,BLACK,2833060000.0
81,,C2,71700.0,,CAUCASIAN,71652.5
82,,C2,330000000.0,,ASIAN,326203000.0
83,,C2,386000000.0,,CAUCASIAN,385889000.0
84,,C2,2.58e+11,,HISPANIC,2.58125e+11
85,,C2,16500000000.0,,HISPANIC,16519900000.0
86,,C2,2730000000.0,,HISPANIC,2730290000.0
87,,C2,22000000000.0,,HISPANIC,22031900000.0
88,,C2,852000000.0,,CAUCASIAN,840740000.0
88,,C2,852000000.0,,HISPANIC,835144000.0
91,,C2,52200000000.0,,BLACK,52180200000.0
92,,C2,2300000.0,,BLACK,2308350.0
92,,C2,2300000.0,,HISPANIC,2302250.0
93,,C2,28600000000.0,,ASIAN,28229900000.0
94,,C2,5.12e+11,,HISPANIC,5.11922e+11
95,,C2,51900000.0,,HISPANIC,51935300.0
96,,C2,16300000.0,,CAUCASIAN,16289300.0
97,,C2,9240000000.0,,BLACK,9236930000.0
99,,C2,77000000.0,,HISPANIC,77040200.0
100,,C2,18100000.0,,HISPANIC,18094200.0
101,,C2,35600000000.0,,BLACK,35634800000.0
104,,C2,156000000.0,,HISPANIC,155709000.0
105,,C2,47700000000.0,,HISPANIC,47741600000.0
106,,C2,48900000.0,,HISPANIC,48897800.0
107,,C2,10200000000.0,,BLACK,10169400000.0
108,,C2,0.00111,,HISPANIC,0.00111143
109,,C2,294000.0,,HISPANIC,294316.0
110,,C2,32900.0,,BLACK,32851.1
111,,C2,2500000000.0,,HISPANIC,2497540000.0
117,,C2,3.46,,HISPANIC,3.45584
118,,C2,48000000000.0,,HISPANIC,47707300000.0
120,,C2,2.7e-11,,HISPANIC,2.73939e-11
122,,C2,4.3e-26,,CAUCASIAN,4.29876e-26
123,,C2,192.0,,HISPANIC,191.807
129,,C2,588.0,,HISPANIC,588.492
130,,C2,266000.0,,HISPANIC,266173.0
131,,C2,90900.0,,HISPANIC,90869.1
132,,C2,88800000.0,,HISPANIC,88821000.0
133,,C2,7870000000.0,,CAUCASIAN,7873260000.0
134,,C2,13300000000.0,,HISPANIC,13305900000.0
135,,C2,562000.0,,HISPANIC,561678.0
136,,C2,0.00812,,CAUCASIAN,0.00801903
137,,C2,4060.0,,CAUCASIAN,4063.86
139,,C2,9.05e+11,,HISPANIC,9.04704e+11
140,,C2,9.34,,BLACK,9.34252
141,,C2,57400.0,,BLACK,57360.5
143,,C2,2260000000.0,,BLACK,2255300000.0
145,,C2,62600000.0,,BLACK,62551500.0
147,,C2,2.06e+11,,CAUCASIAN,2.05899e+11
150,,C2,1.71e-05,,BLACK,1.70942e-05
151,,C2,183000000.0,,BLACK,182637000.0
152,,C2,497.0,,HISPANIC,497.393
153,,C2,30200000.0,,BLACK,30181100.0
154,,C2,10800000.0,,BLACK,10798100.0
156,,C2,68600000.0,,BLACK,68623600.0
157,,C2,235000000.0,,BLACK,234967000.0
159,,C2,5.17,,HISPANIC,5.17101
161,,C2,1.44e-05,,BLACK,1.43945e-05
163,,C2,654000000.0,,ASIAN,647188000.0
166,,C2,204.0,,BLACK,203.894
168,,C2,8590.0,,CAUCASIAN,8591.86
169,,C2,6540.0,,CAUCASIAN,6536.83
172,,C2,5310.0,,CAUCASIAN,5309.71
175,,C2,35000000.0,,CAUCASIAN,35032100.0
176,,C2,72900.0,,HISPANIC,72855.9
177,,C2,357000000.0,,BLACK,357311000.0
178,,C2,68900000000.0,,BLACK,68918600000.0
179,,C2,170000.0,,CAUCASIAN,169925.0
180,,C2,91700000.0,,HISPANIC,91664500.0
181,,C2,110000000.0,,HISPANIC,109694000.0
183,,C2,5560000.0,,CAUCASIAN,5555550.0
184,,C2,4110.0,,CAUCASIAN,4112.41
185,,C2,11.1,,HISPANIC,11.1364
186,,C2,39100.0,,HISPANIC,39084.9
187,,C2,2580.0,,HISPANIC,2582.59
188,,C2,25.1,,BLACK,25.076
189,,C2,28600000000.0,,BLACK,28551100000.0
190,,C2,10200000.0,,BLACK,10246200.0
191,,C2,2.58e+11,,HISPANIC,2.58491e+11
192,,C2,4410.0,,HISPANIC,4414.75
193,,C2,84600000000.0,,HISPANIC,84597900000.0
198,,C2,3460000.0,,HISPANIC,3456300.0
200,,C2,253000000.0,,HISPANIC,253070000.0
201,,C2,673000.0,,HISPANIC,672541.0
202,,C2,17100.0,,BLACK,17066.1
203,,C2,837000000.0,,BLACK,836516000.0
204,,C2,359000000.0,,HISPANIC,359219000.0
205,,C2,1.9e+13,,HISPANIC,1.90292e+13
206,,C2,1.26e+12,,HISPANIC,1.26339e+12
207,,C2,802000.0,,CAUCASIAN,811633.0
208,,C2,14800000.0,,CAUCASIAN,14773200.0
210,,C2,126000.0,,CAUCASIAN,126360.0
211,,C2,230000000.0,,CAUCASIAN,229749000.0
212,,C2,2150000000.0,,CAUCASIAN,2154470000.0
213,,C2,30500000.0,,HISPANIC,30493100.0
214,,C2,66400000000.0,,BLACK,66407700000.0
215,,C2,26000000000.0,,HISPANIC,25990700000.0
216,,C2,770000.0,,CAUCASIAN,769560.0
217,,C2,166000000.0,,HISPANIC,166035000.0
218,,C2,1.05e+12,,HISPANIC,1.04802e+12
219,,C2,9.6e+11,,HISPANIC,9.59506e+11
221,,C2,13700000000.0,,CAUCASIAN,13679600000.0
222,,C2,1.62e+12,,BLACK,1.616e+12
223,,C2,1.52e+11,,BLACK,1.51603e+11
226,,C2,277000000.0,,CAUCASIAN,272948000.0
227,,C2,2410000.0,,HISPANIC,2452130.0
230,,C2,688000.0,,CAUCASIAN,687938.0
230,,C1,5300000000.0,,ASIAN,5223340000.0
231,,C2,45700000.0,,HISPANIC,45649600.0
232,,C2,5390000000.0,,BLACK,5385820000.0
233,,C2,2.26e+11,,HISPANIC,2.26034e+11
235,,C2,6670000000.0,,CAUCASIAN,6666530000.0
236,,C2,80900000000.0,,CAUCASIAN,81137100000.0
237,,C2,1010000000.0,,HISPANIC,1005620000.0
239,,C2,2.69e+12,,BLACK,2.69407e+12
243,,C2,2.7e+14,,HISPANIC,2.69615e+14
244,,C2,403000000.0,,CAUCASIAN,402849000.0
249,,C2,33000000000.0,,HISPANIC,32970500000.0
250,,C2,39800000000.0,,BLACK,39761700000.0
251,,C2,39300000000.0,,BLACK,39268900000.0
253,,C2,5940000000.0,,HISPANIC,5937210000.0
254,,C2,9.11e+12,,HISPANIC,9.10758e+12
256,,C2,73300000.0,,CAUCASIAN,73298600.0
257,,C2,3.34e+11,,CAUCASIAN,3.34378e+11
258,,C2,169000000.0,,HISPANIC,169315000.0
259,,C2,1.86e-16,,HISPANIC,1.85781e-16
261,,C2,1.08e-19,,BLACK,1.07835e-19
266,,C2,2.19e-20,,CAUCASIAN,2.21979e-20
267,,C2,1.01e-08,,BLACK,1.01365e-08
270,,C2,1.76e-19,,CAUCASIAN,1.76401e-19
272,,C2,8.06e-14,,HISPANIC,8.06e-14
129,,C3,4400000000.0,,HISPANIC,4403060000.0
130,,C3,1660000.0,,ASIAN,1642850.0
131,,C3,929000.0,,BLACK,929029.0
134,,C3,0.000669,,CAUCASIAN,0.000668905
135,,C3,108000000.0,,CAUCASIAN,108262000.0
140,,C3,40600.0,,BLACK,40555.0
141,,C3,3.47e-15,,CAUCASIAN,3.47452e-15
143,,C3,5.8e-19,,HISPANIC,5.80052e-19
145,,C3,8.36e-23,,CAUCASIAN,8.36071e-23
146,,C3,586000.0,,HISPANIC,583962.0
151,,C3,4.32e-05,,CAUCASIAN,4.31586e-05
154,,C3,20.5,,HISPANIC,20.5409
155,,C3,11700.0,,CAUCASIAN,11671.4
157,,C3,26200.0,,CAUCASIAN,26207.9
159,,C3,1500000.0,,CAUCASIAN,1501110.0
161,,C3,89500000.0,,CAUCASIAN,89549900.0
261,,C3,1880000000.0,,BLACK,1878040000.0
265,,C3,1250000000.0,,ASIAN,1225700000.0
266,,C3,1040000000.0,,HISPANIC,1031350000.0
270,,C3,7.03e-11,,HISPANIC,7.02988e-11
272,,C3,15.1,,CAUCASIAN,15.083
118,,C3,1.23e-10,,CAUCASIAN,1.25038e-10
120,,C3,1.02e+12,,BLACK,1.01641e+12
121,,C3,61900.0,,ASIAN,61536.8
122,,C3,1.19e-24,,CAUCASIAN,1.19386e-24
123,,C3,1950000.0,,HISPANIC,1951190.0
124,,C3,1920000.0,,HISPANIC,1923160.0
125,,C3,2200.0,,CAUCASIAN,2204.48
126,,C3,12300000000.0,,CAUCASIAN,12241500000.0
259,,C4,2220000.0,,HISPANIC,2220400.0
261,,C4,64800000000.0,,HISPANIC,64813600000.0
262,,C4,213.0,,BLACK,212.96
265,,C4,400000000.0,,BLACK,399594000.0
266,,C4,14500000000.0,,CAUCASIAN,14446100000.0
267,,C4,853000.0,,ASIAN,845356.0
268,,C4,180000.0,,HISPANIC,179734.0
270,,C4,3640000000.0,,CAUCASIAN,3637470000.0
271,,C4,327000000.0,,HISPANIC,326790000.0
272,,C4,89600000.0,,CAUCASIAN,89623700.0
273,,C1,6960000.0,,HISPANIC,6959250.0
274,,C1,3.86e-14,,HISPANIC,3.86281e-14
275,,C1,120000000.0,,BLACK,120413000.0
276,,C1,18700.0,,HISPANIC,18670.5
277,,C1,54100000.0,,ASIAN,53972900.0
280,,C1,2940000.0,,CAUCASIAN,2943820.0
281,,C1,22.2,,CAUCASIAN,22.1765
282,,C1,3.43e-06,,CAUCASIAN,3.42959e-06
283,,C1,2.31e-28,,HISPANIC,2.31269e-28
284,,C1,220000.0,,BLACK,219992.0
285,,C1,100000000.0,,BLACK,100102000.0
286,,C1,7260.0,,BLACK,7256.87
287,,C1,3420.0,,BLACK,3419.55
288,,C1,5930.0,,BLACK,5930.04
289,,C1,303.0,,BLACK,303.239
290,,C1,2800000.0,,HISPANIC,2798710.0
292,,C1,4110000.0,,HISPANIC,4109650.0
293,,C1,487000.0,,HISPANIC,486823.0
294,,C1,8710000.0,,HISPANIC,8706280.0
295,,C1,42400.0,,HISPANIC,42354.4
296,,C1,71700.0,,CAUCASIAN,71678.3
297,,C1,9730000.0,,CAUCASIAN,9726870.0
300,,C1,63300.0,,CAUCASIAN,63271.6
301,,C1,18300.0,,CAUCASIAN,18332.2
302,,C1,4360.0,,HISPANIC,4362.01
303,,C1,242000.0,,HISPANIC,241539.0
304,,C1,1580.0,,HISPANIC,1584.31
305,,C1,2340.0,,HISPANIC,2338.62
306,,C1,197.0,,HISPANIC,196.927
307,,C1,403.0,,HISPANIC,403.464
308,,C1,8350000.0,,ASIAN,8303790.0
309,,C1,1170000000.0,,CAUCASIAN,1168770000.0
310,,C1,193000.0,,CAUCASIAN,193116.0
311,,C1,32900.0,,CAUCASIAN,32935.9
312,,C1,17800.0,,CAUCASIAN,17837.7
313,,C1,1420.0,,CAUCASIAN,1421.73
314,,C1,911000.0,,HISPANIC,911038.0
315,,C1,36700000.0,,HISPANIC,36740600.0
320,,C1,2820000.0,,BLACK,2817480.0
321,,C1,33400000.0,,BLACK,33395300.0
322,,C1,2.0,,BLACK,1.99708
323,,C1,0.00141,,BLACK,0.00140512
324,,C1,5.65,,BLACK,5.65113
327,,C1,4980000000.0,,HISPANIC,5018190000.0
328,,C1,818.0,,HISPANIC,817.676
329,,C1,6.32,,CAUCASIAN,6.32052
330,,C1,164000.0,,HISPANIC,164467.0
331,,C1,95000.0,,HISPANIC,95048.9
332,,C1,310000.0,,CAUCASIAN,310155.0
333,,C1,1610000.0,,CAUCASIAN,1606760.0
334,,C1,3680.0,,CAUCASIAN,3678.22
335,,C1,46.3,,CAUCASIAN,46.2989
336,,C1,16100.0,,CAUCASIAN,16102.4
337,,C1,527.0,,CAUCASIAN,526.602
338,,C1,386000.0,,HISPANIC,385754.0
339,,C1,1930000.0,,HISPANIC,1931530.0
340,,C1,2870.0,,HISPANIC,2865.86
341,,C1,102.0,,HISPANIC,101.817
342,,C1,12800.0,,HISPANIC,12801.5
343,,C1,7510.0,,HISPANIC,7510.74
344,,C1,50300000.0,,CAUCASIAN,50260900.0
345,,C1,292000000.0,,CAUCASIAN,292279000.0
346,,C1,725.0,,CAUCASIAN,724.61
347,,C1,67.3,,CAUCASIAN,67.302
348,,C1,92100.0,,CAUCASIAN,92058.4
349,,C1,4980.0,,CAUCASIAN,4984.47
350,,C1,236000000.0,,HISPANIC,236337000.0
384,,C1,68900000.0,,ASIAN,68310700.0
388,,C1,4.08,,HISPANIC,4.08097
390,,C1,426000.0,,HISPANIC,426496.0
391,,C1,54.3,,ASIAN,53.8439
392,,C2,6350000.0,,BLACK,6347770.0
392,,C1,68400.0,,CAUCASIAN,68439.1
393,,C1,1060000.0,,CAUCASIAN,1064170.0
394,,C1,26.6,,CAUCASIAN,26.6022
395,,C1,1050000.0,,CAUCASIAN,1051950.0
396,,C1,347000.0,,CAUCASIAN,347412.0
397,,C1,475000.0,,CAUCASIAN,475180.0
398,,C1,500000.0,,CAUCASIAN,500111.0
351,,C1,4030000000.0,,HISPANIC,4025050000.0
352,,C1,63.2,,HISPANIC,63.1804
353,,C1,162.0,,HISPANIC,162.202
354,,C1,126000.0,,HISPANIC,126071.0
355,,C1,345000.0,,HISPANIC,345027.0
356,,C1,1.01e-11,,BLACK,1.01251e-11
357,,C1,3.13e-07,,BLACK,3.13498e-07
358,,C1,0.00182,,HISPANIC,0.00181909
359,,C1,1.48e-06,,HISPANIC,1.47612e-06
361,,C1,1.59e-05,,CAUCASIAN,1.59171e-05
364,,C1,2.03e-12,,HISPANIC,2.02828e-12
365,,C1,1.31e-06,,HISPANIC,1.31143e-06
367,,C1,53.4,,CAUCASIAN,53.3874
368,,C1,2.35e-06,,CAUCASIAN,2.35306e-06
369,,C1,5.09e-13,,HISPANIC,5.08612e-13
370,,C1,1.52,,HISPANIC,1.51685
372,,C1,1.42e-20,,ASIAN,1.40828e-20
373,,C1,0.0032,,ASIAN,0.00316146
374,,C1,6e-07,,ASIAN,5.93312e-07
375,,C1,0.00439,,HISPANIC,0.00438823
376,,C1,9.61e-13,,HISPANIC,9.61379e-13
377,,C1,3.06e-06,,ASIAN,3.02884e-06
378,,C1,22700.0,,HISPANIC,22732.4
379,,C1,6.6e-12,,CAUCASIAN,6.60443e-12
381,,C1,9.28e-08,,CAUCASIAN,9.28499e-08
382,,C1,0.1,,ASIAN,0.101007
383,,C1,0.0032,,ASIAN,0.00316146
401,,C1,271000.0,,CAUCASIAN,270889.0
402,,C1,176000.0,,CAUCASIAN,177499.0
405,,C1,743000.0,,CAUCASIAN,743118.0
406,,C1,74600.0,,CAUCASIAN,74576.8
407,,C1,7850000.0,,CAUCASIAN,7845230.0
408,,C1,179000.0,,CAUCASIAN,178779.0
409,,C1,421000.0,,CAUCASIAN,421327.0
410,,C1,210000.0,,CAUCASIAN,209552.0
411,,C1,33700000.0,,CAUCASIAN,33731800.0
412,,C1,45900.0,,CAUCASIAN,45914.3
413,,C1,462000.0,,CAUCASIAN,461775.0
414,,C1,13800.0,,CAUCASIAN,13769.4
416,,C1,444000.0,,CAUCASIAN,444312.0
417,,C1,77900.0,,HISPANIC,77919.6
418,,C1,343000000.0,,HISPANIC,342899000.0
424,,C1,689.0,,HISPANIC,689.438
427,,C1,1010000.0,,CAUCASIAN,1007000.0
428,,C1,736000.0,,CAUCASIAN,735678.0
429,,C1,394000.0,,BLACK,393586.0
432,,C1,16300000.0,,BLACK,16289500.0
433,,C1,1660.0,,CAUCASIAN,1657.4
434,,C1,244.0,,CAUCASIAN,243.872
435,,C1,133000000.0,,HISPANIC,132743000.0
436,,C1,626000000.0,,BLACK,630521000.0
438,,C1,0.12,,CAUCASIAN,0.119652
439,,C1,13400000.0,,BLACK,13361700.0
441,,C1,592000.0,,HISPANIC,592091.0
442,,C1,0.00608,,CAUCASIAN,0.00608186
444,,C1,97400.0,,BLACK,97392.0
445,,C1,354.0,,CAUCASIAN,354.219
446,,C1,53.0,,CAUCASIAN,52.9982
447,,C1,0.49,,HISPANIC,0.489383
451,,C1,42700.0,,CAUCASIAN,42672.3
453,,C1,251.0,,BLACK,251.463
454,,C1,6.24,,CAUCASIAN,6.23876
455,,C1,239.0,,CAUCASIAN,238.605
456,,C1,0.36,,CAUCASIAN,0.355821
457,,C1,0.00565,,CAUCASIAN,0.00564567
458,,C1,67300.0,,BLACK,67348.5
460,,C1,20.3,,HISPANIC,20.2881
461,,C1,12300000.0,,HISPANIC,12251700.0
462,,C1,9.95e-06,,CAUCASIAN,9.9508e-06
463,,C1,261.0,,CAUCASIAN,260.605
464,,C1,1.87e-16,,CAUCASIAN,1.87122e-16
469,,C1,3.09e-06,,CAUCASIAN,3.09038e-06
471,,C1,3730000.0,,ASIAN,3716940.0
472,,C1,232000.0,,HISPANIC,232090.0
473,,C1,79900.0,,HISPANIC,79914.6
474,,C1,11400000000.0,,HISPANIC,11379800000.0
